driver,stint,compound,tire_age,lap_number,lap_time_seconds,fuel_corrected_pace,baseline_pace,delta_pace,year,circuit
BOT,2.0,MEDIUM,17.0,31.0,99.806,97.916,97.477,0.43899999999999295,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,18.0,32.0,99.65,97.697,97.477,0.21999999999999886,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,19.0,33.0,99.815,97.79899999999999,97.477,0.3219999999999885,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,20.0,34.0,99.739,97.66000000000001,97.477,0.18300000000000693,2022,Bahrain Grand Prix
BOT,2.0,MEDIUM,21.0,35.0,99.619,97.477,97.477,0.0,2022,Bahrain Grand Prix
BOT,3.0,MEDIUM,2.0,38.0,96.641,94.31,94.67299999999999,-0.36299999999998533,2022,Bahrain Grand Prix
BOT,3.0,MEDIUM,3.0,39.0,97.067,94.67299999999999,94.67299999999999,0.0,2022,Bahrain Grand Prix
BOT,3.0,MEDIUM,4.0,40.0,97.497,95.04,94.67299999999999,0.36700000000001864,2022,Bahrain Grand Prix
BOT,3.0,MEDIUM,5.0,41.0,97.687,95.167,94.67299999999999,0.494000000000014,2022,Bahrain Grand Prix
BOT,3.0,MEDIUM,6.0,42.0,97.498,94.915,94.67299999999999,0.24200000000001864,2022,Bahrain Grand Prix
BOT,3.0,MEDIUM,7.0,43.0,98.681,96.035,94.67299999999999,1.362000000000009,2022,Bahrain Grand Prix
BOT,3.0,MEDIUM,8.0,44.0,98.386,95.67699999999999,94.67299999999999,1.0040000000000049,2022,Bahrain Grand Prix
BOT,4.0,SOFT,8.0,51.0,97.589,94.439,93.62,0.8189999999999884,2022,Bahrain Grand Prix
BOT,4.0,SOFT,9.0,52.0,97.06,93.84700000000001,93.62,0.22700000000000387,2022,Bahrain Grand Prix
BOT,4.0,SOFT,10.0,53.0,96.599,93.32300000000001,93.62,-0.29699999999999704,2022,Bahrain Grand Prix
BOT,4.0,SOFT,11.0,54.0,96.959,93.62,93.62,0.0,2022,Bahrain Grand Prix
BOT,4.0,SOFT,12.0,55.0,97.217,93.815,93.62,0.19499999999999318,2022,Bahrain Grand Prix
BOT,4.0,SOFT,13.0,56.0,97.26,93.795,93.62,0.17499999999999716,2022,Bahrain Grand Prix
BOT,4.0,SOFT,14.0,57.0,97.87,94.342,93.62,0.7219999999999942,2022,Bahrain Grand Prix
GAS,1.0,SOFT,4.0,1.0,104.27,104.27,99.96900000000001,4.300999999999988,2022,Bahrain Grand Prix
GAS,1.0,SOFT,5.0,2.0,100.169,100.106,99.96900000000001,0.13699999999998624,2022,Bahrain Grand Prix
GAS,1.0,SOFT,6.0,3.0,99.968,99.842,99.96900000000001,-0.12700000000000955,2022,Bahrain Grand Prix
GAS,1.0,SOFT,7.0,4.0,100.158,99.96900000000001,99.96900000000001,0.0,2022,Bahrain Grand Prix
GAS,1.0,SOFT,8.0,5.0,100.249,99.997,99.96900000000001,0.027999999999991587,2022,Bahrain Grand Prix
GAS,1.0,SOFT,9.0,6.0,100.474,100.159,99.96900000000001,0.18999999999999773,2022,Bahrain Grand Prix
GAS,1.0,SOFT,10.0,7.0,100.433,100.055,99.96900000000001,0.08599999999999852,2022,Bahrain Grand Prix
